region,ics,trust_code,trust_name,hosp_code,hosp_name,country,mortality_denom_N,died30_n,died30_perc,died90_n,died90_perc,died30hospcount_reason_N,COD30_diag_code_highest_diag_1,COD30_diag_code_highest_diag_2,COD30_diag_code_highest_diag_3,COD30diagcount_highest_diag_1,COD30diagcount_highest_diag_2,COD30diagcount_highest_diag_3,CODdiag30perc_highest_diag_1,CODdiag30perc_highest_diag_2,CODdiag30perc_highest_diag_3,died90hospcount_reason_N,COD90_diag_code_highest_diag_1,COD90_diag_code_highest_diag_2,COD90_diag_code_highest_diag_3,COD90diagcount_highest_diag_1,COD90diagcount_highest_diag_2,COD90diagcount_highest_diag_3,CODdiag90perc_highest_diag_1,CODdiag90perc_highest_diag_2,CODdiag90perc_highest_diag_3,readmitted30_N,readmitted30_No_n,readmitted30_No_perc,readmitted30_Yes_n,readmitted30_Yes_perc,readmitted90_N,readmitted90_No_n,readmitted90_No_perc,readmitted90_Yes_n,readmitted90_Yes_perc,read30hospcount_reason_N,readmiss30_diag_code_highest_diag_1,readmiss30_diag_code_highest_diag_2,readmiss30_diag_code_highest_diag_3,readmiss30diagcount_highest_diag_1,readmiss30diagcount_highest_diag_2,readmiss30diagcount_highest_diag_3,readmissdiag30perc_highest_diag_1,readmissdiag30perc_highest_diag_2,readmissdiag30perc_highest_diag_3,read90hospcount_reason_N,readmiss90_diag_code_highest_diag_1,readmiss90_diag_code_highest_diag_2,readmiss90_diag_code_highest_diag_3,readmiss90diagcount_highest_diag_1,readmiss90diagcount_highest_diag_2,readmiss90diagcount_highest_diag_3,readmissdiag90perc_highest_diag_1,readmissdiag90perc_highest_diag_2,readmissdiag90perc_highest_diag_3,age_N,age_median,age_lo.quart,age_hi.quart,gender_N,gender_Male_n,gender_Male_perc,gender_Female_n,gender_Female_perc,gender_Transgender_n,gender_Transgender_perc,gender_Other_n,gender_Other_perc,gender_Not_recorded/Preferred_not_to_say_n,gender_Not_recorded/Preferred_not_to_say_perc,IMD_quintile_all_N,IMD_quintile_all_1_n,IMD_quintile_all_1_perc,IMD_quintile_all_2_n,IMD_quintile_all_2_perc,IMD_quintile_all_3_n,IMD_quintile_all_3_perc,IMD_quintile_all_4_n,IMD_quintile_all_4_perc,IMD_quintile_all_5_n,IMD_quintile_all_5_perc,IMD_quintile_all_Missing_n,IMD_quintile_all_Missing_perc,CCIweightedcat_N,CCIweightedcat_0-1_n,CCIweightedcat_0-1_perc,CCIweightedcat_2_n,CCIweightedcat_2_perc,CCIweightedcat_3_n,CCIweightedcat_3_perc,CCIweightedcat_4_n,CCIweightedcat_4_perc,CCIweightedcat_5_n,CCIweightedcat_5_perc,CCIweightedcat_6_n,CCIweightedcat_6_perc,CCIweightedcat_7+_n,CCIweightedcat_7+_perc
East of England ,"Bedfordshire, Luton and Milton Keynes ",RC1,Bedfordshire Hospitals NHS Foundation Trust,BED,Bedford Hospital,England,307,15,4.9,33,10.7,15,J44,C34,C66,9,<5,<5,60,-,-,33,J44,C34,C22,21,<5,<5,63.6,-,-,298,233,78.2,65,21.8,298,162,54.4,136,45.6,72,J44,J18,C78,35,11,<5,48.6,15.3,-,216,J44,J18,R29,102,31,7,47.2,14.4,3.2,307,74,66,81,307,152,49.5,155,50.5,0,0,0,0,0,0,307,44,14.3,38,12.4,64,20.8,79,25.7,78,25.4,<5,-,307,190,61.9,20,6.5,71,23.1,12,3.9,5,1.6,<5,-,7,2.3
East of England ,"Bedfordshire, Luton and Milton Keynes ",RC9,Bedfordshire Hospitals NHS Foundation Trust,LDH,Luton & Dunstable Hospital,England,660,58,8.8,101,15.3,58,J44,I21,C34,30,6,5,51.7,10.3,8.6,101,J44,C34,I21,52,11,7,51.5,10.9,6.9,619,464,75,155,25,619,351,56.7,268,43.3,185,J44,J18,R06,57,34,7,30.8,18.4,3.8,504,J44,J18,R06,158,85,14,31.3,16.9,2.8,660,74,65,81,660,326,49.4,333,50.5,0,0,0,0,<5,-,660,145,22,168,25.5,149,22.6,99,15,93,14.1,6,0.9,660,450,68.2,48,7.3,115,17.4,24,3.6,12,1.8,0,0,11,1.7
East of England ,"Bedfordshire, Luton and Milton Keynes ",RD8,Milton Keynes University Hospital NHS Foundation Trust,MKH,Milton Keynes General Hospital,England,457,29,6.3,61,13.3,29,J44,I25,J43,18,<5,<5,62.1,-,-,61,J44,C34,I25,41,<5,<5,67.2,-,-,442,329,74.4,113,25.6,442,230,52,212,48,136,J44,J18,J96,53,14,7,39,10.3,5.1,354,J44,J18,R06,132,32,23,37.3,9,6.5,457,74,67,80,457,222,48.6,235,51.4,0,0,0,0,0,0,457,72,15.8,98,21.4,86,18.8,139,30.4,56,12.3,6,1.3,457,320,70,18,3.9,88,19.3,16,3.5,9,2,<5,-,<5,-
East of England ,Cambridgeshire and Peterborough ,RGT,Cambridge University Hospitals NHS Foundation Trust,ADD,Addenbrooke's Hospital,England,797,33,4.1,88,11,33,J44,I25,I26,13,<5,<5,39.4,-,-,88,J44,I25,J18,36,7,<5,40.9,8,-,781,588,75.3,193,24.7,781,437,56,344,44,271,J44,J18,N18,74,29,24,27.3,10.7,8.9,693,J44,N18,J18,189,76,60,27.3,11,8.7,797,74,68,81,797,402,50.4,395,49.6,0,0,0,0,0,0,797,14,1.8,97,12.2,230,28.9,213,26.7,235,29.5,8,1,797,486,61,74,9.3,144,18.1,48,6,28,3.5,10,1.3,7,0.9
East of England ,Cambridgeshire and Peterborough ,RGN,North West Anglia NHS Foundation Trust,HIN,Hinchingbrooke Hospital,England,425,29,6.8,58,13.6,29,J44,F03,C15,20,<5,<5,69,-,-,58,J44,C34,I25,32,<5,<5,55.2,-,-,408,285,69.9,123,30.1,408,226,55.4,182,44.6,167,J44,J18,N18,55,22,13,32.9,13.2,7.8,346,J44,J18,N18,105,37,36,30.3,10.7,10.4,425,75,68,82,425,177,41.6,248,58.4,0,0,0,0,0,0,425,20,4.7,73,17.2,133,31.3,107,25.2,89,20.9,<5,-,425,279,65.6,38,8.9,71,16.7,18,4.2,13,3.1,<5,-,5,1.2
East of England ,Cambridgeshire and Peterborough ,RGN,North West Anglia NHS Foundation Trust,PET,Peterborough City Hospital,England,898,80,8.9,126,14,80,J44,J84,I21,46,<5,<5,57.5,-,-,126,J44,J84,C34,63,5,<5,50,4,-,853,655,76.8,198,23.2,853,490,57.4,363,42.6,250,J44,J18,R06,105,17,8,42,6.8,3.2,635,J44,J18,R06,236,44,17,37.2,6.9,2.7,898,74,66,81,898,460,51.2,438,48.8,0,0,0,0,0,0,898,260,29,170,18.9,177,19.7,163,18.2,126,14,<5,-,898,511,56.9,93,10.4,180,20,59,6.6,25,2.8,11,1.2,19,2.1
East of England ,Hertfordshire and West Essex,RWH,East and North Hertfordshire NHS Trust,LIS,Lister Hospital,England,660,46,7,87,13.2,46,J44,C34,F03,35,<5,<5,76.1,-,-,87,J44,C34,I25,55,6,5,63.2,6.9,5.7,633,462,73,171,27,633,339,53.6,294,46.4,212,J44,J18,C34,83,42,5,39.2,19.8,2.4,549,J44,J18,C34,193,96,17,35.2,17.5,3.1,660,74,67,82,660,305,46.2,354,53.6,<5,-,0,0,0,0,660,20,3,155,23.5,212,32.1,130,19.7,140,21.2,<5,-,660,400,60.6,52,7.9,129,19.5,43,6.5,15,2.3,7,1.1,14,2.1
East of England ,Hertfordshire and West Essex,RQW,The Princess Alexandra Hospital NHS Trust,PAH,Princess Alexandra Hospital,England,266,17,6.4,34,12.8,17,J44,F03,I21,10,<5,<5,58.8,-,-,34,J44,F03,I21,20,<5,<5,58.8,-,-,256,183,71.5,73,28.5,256,139,54.3,117,45.7,88,J44,J18,J96,23,14,<5,26.1,15.9,-,194,J44,J18,J96,53,30,8,27.3,15.5,4.1,266,74,69,82,266,123,46.2,143,53.8,0,0,0,0,0,0,266,6,2.3,93,35,70,26.3,58,21.8,39,14.7,0,0,266,165,62,16,6,53,19.9,12,4.5,13,4.9,<5,-,<5,-
East of England ,Hertfordshire and West Essex,RWG,West Hertfordshire Teaching Hospitals NHS Trust,WAT,Watford General Hospital,England,358,16,4.5,46,12.8,16,J44,A16,C34,9,<5,<5,56.2,-,-,46,J44,C34,I21,27,<5,<5,58.7,-,-,352,256,72.7,96,27.3,352,199,56.5,153,43.5,120,J44,J18,R69,49,16,<5,40.8,13.3,-,274,J44,J18,C34,97,34,8,35.4,12.4,2.9,358,74,67,81,358,181,50.6,171,47.8,0,0,0,0,6,1.7,358,10,2.8,65,18.2,99,27.7,87,24.3,92,25.7,5,1.4,358,214,59.8,34,9.5,82,22.9,13,3.6,12,3.4,<5,-,<5,-
East of England ,Mid and South Essex ,RDD,Mid and South Essex NHS Foundation Trust,BAS,Basildon Hospital,England,468,29,6.2,58,12.4,29,J44,C34,C56,23,<5,<5,79.3,-,-,58,J44,C34,J84,43,<5,<5,74.1,-,-,448,347,77.5,101,22.5,448,268,59.8,180,40.2,132,J44,J18,A41,54,16,<5,40.9,12.1,-,316,J44,J18,R69,112,31,9,35.4,9.8,2.8,468,75,68,81,468,210,44.9,258,55.1,0,0,0,0,0,0,468,118,25.2,156,33.3,80,17.1,66,14.1,43,9.2,5,1.1,468,316,67.5,43,9.2,64,13.7,21,4.5,14,3,0,0,10,2.1
